nome,preparacao,nome_busca,kcal_100g,proteina_g,carboidrato_g,gordura_g,fibra_g,sodio_mg,gordura_saturada_g,gordura_trans_g,acucar_g,colesterol_mg,fonte
PATAUA,NAO SE APLICA,pataua,105.0,1.9,22.8,2.0,7.4,,,,,,IBGE
ALFACE,NAO SE APLICA,alface,15.0,1.36,2.79,0.15,1.3,28.0,0.02,,0.79,,IBGE
BERTALHA,REFOGADO(A),bertalha refogado,45.3,2.97,3.75,2.78,2.4,70.0,0.41,,0.89,,IBGE
CHICORIA,CRU(A),chicoria cru,17.0,1.25,3.35,0.2,3.1,22.0,0.05,,0.5,,IBGE
CHICORIA,COZIDO(A),chicoria cozido,58.88,1.9,5.63,3.89,2.0,23.0,0.6,0.02,0.9,,IBGE
CHICORIA,REFOGADO(A),chicoria refogado,58.88,1.9,5.63,3.89,2.0,23.0,0.6,0.02,0.9,,IBGE
CHICORIA,AO VINAGRETE,chicoria ao vinagrete,58.88,1.9,5.63,3.89,2.0,23.0,0.6,0.02,0.9,,IBGE
ESCAROLA,NAO SE APLICA,escarola,52.88,1.61,4.31,3.75,3.99,29.0,0.56,,0.65,,IBGE
COUVE,CRU(A),couve cru,30.0,2.45,5.69,0.42,3.6,20.0,0.06,,1.63,,IBGE
COUVE,COZIDO(A),couve cozido,26.0,2.11,4.91,0.36,2.8,16.0,0.05,,1.41,,IBGE
COUVE,FRITO(A),couve frito,47.13,2.11,4.91,2.75,2.8,16.0,0.39,,1.41,,IBGE
COUVE,REFOGADO(A),couve refogado,47.13,2.11,4.91,2.75,2.8,16.0,0.39,,1.41,,IBGE
COUVE,MOLHO VERMELHO,couve ao molho vermelho,25.6,1.95,5.0,0.32,2.54,117.6,0.04,,1.98,,IBGE
COUVE,AO ALHO E OLEO,couve ao alho e oleo,47.13,2.11,4.91,2.75,2.8,16.0,0.39,,1.41,,IBGE
COUVE,COM MANTEIGA/OLEO,couve com manteiga,43.85,2.13,4.91,2.38,2.8,30.34,1.33,0.08,1.41,5.35,IBGE
COUVE,AO VINAGRETE,couve ao vinagrete,26.0,2.11,4.91,0.36,2.8,16.0,0.05,,1.41,,IBGE
COUVE,ENSOPADO,couve ensopado,47.13,2.11,4.91,2.75,2.8,16.0,0.39,,1.41,,IBGE
COUVE,MINGAU,couve mingau,26.0,2.11,4.91,0.36,2.8,16.0,0.05,,1.41,,IBGE
