nome,preparacao,nome_busca,kcal_100g,proteina_g,carboidrato_g,gordura_g,fibra_g,sodio_mg,gordura_saturada_g,gordura_trans_g,acucar_g,colesterol_mg,fonte
"PEIXE DE MAR SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC)",MOLHO BRANCO,peixe de mar salgado inteiro em posta em file etc ao molho branco,140.05,20.81,1.47,5.11,0.07,92.8,2.32,0.11,0.39,68.33,IBGE
"PEIXE DE MAR SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC)",ENSOPADO,peixe de mar salgado inteiro em posta em file etc ensopado,139.66,24.16,,4.09,,105.0,0.73,,,68.0,IBGE
CAMARAO,CRU(A),camarao cru,99.0,20.91,,1.08,,224.0,0.29,0.02,,195.0,IBGE
CAMARAO,COZIDO(A),camarao cozido,99.0,20.91,,1.08,,224.0,0.29,0.02,,195.0,IBGE
CAMARAO,GRELHADO(A)/BRASA/CHURRASCO,camarao grelhado,99.0,20.91,,1.08,,224.0,0.29,0.02,,195.0,IBGE
CAMARAO,ASSADO(A),camarao assado,99.0,20.91,,1.08,,224.0,0.29,0.02,,195.0,IBGE
CAMARAO,FRITO(A),camarao frito,121.66,20.91,,3.64,,224.0,0.66,0.02,,195.0,IBGE
CAMARAO,EMPANADO(A)/A MILANESA,camarao empanado,137.84,21.37,3.39,3.69,0.14,224.09,0.66,0.02,0.01,195.0,IBGE
CAMARAO,REFOGADO(A),camarao refogado,121.66,20.91,,3.64,,224.0,0.66,0.02,,195.0,IBGE
CAMARAO,MOLHO VERMELHO,camarao ao molho vermelho,84.0,16.99,1.08,0.9,0.3,284.0,0.24,0.02,0.85,156.0,IBGE
CAMARAO,MOLHO BRANCO,camarao ao molho branco,125.65,18.21,1.47,4.75,0.07,188.0,2.26,0.13,0.39,169.93,IBGE
CAMARAO,AO ALHO E OLEO,camarao ao alho e oleo,121.66,20.91,,3.64,,224.0,0.66,0.02,,195.0,IBGE
CAMARAO,ENSOPADO,camarao ensopado,121.66,20.91,,3.64,,224.0,0.66,0.02,,195.0,IBGE
CAMARAO,NAO SE APLICA,camarao,99.0,20.91,,1.08,,224.0,0.29,0.02,,195.0,IBGE
SIRI,COZIDO(A),siri cozido,102.0,20.2,,1.77,,279.0,0.23,,,100.0,IBGE
SIRI,EMPANADO(A)/A MILANESA,siri empanado,140.84,20.66,3.39,4.38,0.14,279.09,0.64,0.01,0.01,100.0,IBGE
SIRI,REFOGADO(A),siri refogado,124.66,20.2,,4.33,,279.0,0.6,,,100.0,IBGE
BAU (SIRI),COZIDO(A),bau siri cozido,102.0,20.2,,1.77,,279.0,0.23,,,100.0,IBGE
GOIA,CRU(A),goia cru,102.0,20.2,,1.77,,279.0,0.23,,,100.0,IBGE
CARANGUEJO,COZIDO(A),caranguejo cozido,102.0,20.2,,1.77,,279.0,0.23,,,100.0,IBGE
CARANGUEJO,ASSADO(A),caranguejo assado,102.0,20.2,,1.77,,279.0,0.23,,,100.0,IBGE
CARANGUEJO,AO VINAGRETE,caranguejo ao vinagrete,102.0,20.2,,1.77,,279.0,0.23,,,100.0,IBGE
GUAIAMU,COZIDO(A),guaiamu cozido,102.0,20.2,,1.77,,279.0,0.23,,,100.0,IBGE
MARISCO,COZIDO(A),marisco cozido,148.0,25.55,5.13,1.95,,112.0,0.19,,,67.0,IBGE
MARISCO,FRITO(A),marisco frito,170.66,25.55,5.13,4.51,,112.0,0.59,0.01,,67.0,IBGE
MARISCO,MOLHO VERMELHO,marisco ao molho vermelho,123.2,20.7,5.18,1.6,0.3,194.4,0.16,,0.85,53.6,IBGE
MARISCO,NAO SE APLICA,marisco,148.0,25.55,5.13,1.95,,112.0,0.19,,,67.0,IBGE
OSTRA,COZIDO(A),ostra cozido,137.0,14.1,7.82,4.91,,422.0,1.54,,,105.0,IBGE
LULA,EMPANADO(A)/A MILANESA,lula empanado,143.84,18.32,6.92,4.19,0.14,51.09,0.83,0.01,0.01,267.0,IBGE
SURURU,COZIDO(A),sururu cozido,148.0,25.55,5.13,1.95,,112.0,0.19,,,67.0,IBGE
SURURU,ENSOPADO,sururu ensopado,170.66,25.55,5.13,4.51,,112.0,0.59,0.01,,67.0,IBGE
BACALHAU,COZIDO(A),bacalhau cozido,117.0,24.16,,1.53,,105.0,0.36,,,68.0,IBGE
BACALHAU,ASSADO(A),bacalhau assado,117.0,24.16,,1.53,,105.0,0.36,,,68.0,IBGE
BACALHAU,FRITO(A),bacalhau frito,139.66,24.16,,4.09,,105.0,0.73,,,68.0,IBGE
BACALHAU,EMPANADO(A)/A MILANESA,bacalhau empanado,155.84,24.62,3.39,4.14,0.14,105.09,0.74,,0.01,68.0,IBGE
BACALHAU,REFOGADO(A),bacalhau refogado,139.66,24.16,,4.09,,105.0,0.73,,,68.0,IBGE
BACALHAU,MOLHO VERMELHO,bacalhau ao molho vermelho,98.4,19.59,1.08,1.26,0.3,188.8,0.3,,0.85,54.4,IBGE
BACALHAU,ENSOPADO,bacalhau ensopado,139.66,24.16,,4.09,,105.0,0.73,,,68.0,IBGE
BACALHAU,NAO SE APLICA,bacalhau,117.0,24.16,,1.53,,105.0,0.36,,,68.0,IBGE
OVAS DE PEIXE (QUALQUER ESPECIE),ASSADO(A),ovas de peixe qualquer especie assado,204.0,28.62,1.92,8.23,,117.0,1.87,,,479.0,IBGE
OVAS DE PEIXE (QUALQUER ESPECIE),FRITO(A),ovas de peixe qualquer especie frito,226.66,28.62,1.92,10.79,,117.0,2.27,0.01,,479.0,IBGE
"PEIXE DE AGUA DOCE (INTEIRO, EM POSTA, EM FILÉ, ETC)",CRU(A),peixe de agua doce inteiro em posta em file etc cru,117.0,24.16,,1.53,,105.0,0.36,,,68.0,IBGE
"PEIXE DE AGUA DOCE (INTEIRO, EM POSTA, EM FILÉ, ETC)",COZIDO(A),peixe de agua doce inteiro em posta em file etc cozido,117.0,24.16,,1.53,,105.0,0.36,,,68.0,IBGE
"PEIXE DE AGUA DOCE (INTEIRO, EM POSTA, EM FILÉ, ETC)",GRELHADO(A)/BRASA/CHURRASCO,peixe de agua doce inteiro em posta em file etc grelhado,117.0,24.16,,1.53,,105.0,0.36,,,68.0,IBGE
"PEIXE DE AGUA DOCE (INTEIRO, EM POSTA, EM FILÉ, ETC)",ASSADO(A),peixe de agua doce inteiro em posta em file etc assado,117.0,24.16,,1.53,,105.0,0.36,,,68.0,IBGE
"PEIXE DE AGUA DOCE (INTEIRO, EM POSTA, EM FILÉ, ETC)",FRITO(A),peixe de agua doce inteiro em posta em file etc frito,139.66,24.16,,4.09,,105.0,0.73,,,68.0,IBGE
"PEIXE DE AGUA DOCE (INTEIRO, EM POSTA, EM FILÉ, ETC)",EMPANADO(A)/A MILANESA,peixe de agua doce inteiro em posta em file etc empanado,155.84,24.62,3.39,4.14,0.14,105.09,0.74,,0.01,68.0,IBGE
"PEIXE DE AGUA DOCE (INTEIRO, EM POSTA, EM FILÉ, ETC)",REFOGADO(A),peixe de agua doce inteiro em posta em file etc refogado,139.66,24.16,,4.09,,105.0,0.73,,,68.0,IBGE
"PEIXE DE AGUA DOCE (INTEIRO, EM POSTA, EM FILÉ, ETC)",MOLHO VERMELHO,peixe de agua doce inteiro em posta em file etc ao molho vermelho,98.4,19.59,1.08,1.26,0.3,188.8,0.3,,0.85,54.4,IBGE
"PEIXE DE AGUA DOCE (INTEIRO, EM POSTA, EM FILÉ, ETC)",MOLHO BRANCO,peixe de agua doce inteiro em posta em file etc ao molho branco,126.19,20.11,1.85,3.71,0.04,104.92,1.82,0.1,1.03,61.23,IBGE
"PEIXE DE AGUA DOCE (INTEIRO, EM POSTA, EM FILÉ, ETC)",ENSOPADO,peixe de agua doce inteiro em posta em file etc ensopado,139.66,24.16,,4.09,,105.0,0.73,,,68.0,IBGE
"PEIXE DE AGUA DOCE (INTEIRO, EM POSTA, EM FILÉ, ETC)",NAO SE APLICA,peixe de agua doce inteiro em posta em file etc,117.0,24.16,,1.53,,105.0,0.36,,,68.0,IBGE
"PEIXE DE AGUA DOCE SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC)",COZIDO(A),peixe de agua doce salgado inteiro em posta em file etc cozido,117.0,24.16,,1.53,,105.0,0.36,,,68.0,IBGE
"PEIXE DE AGUA DOCE SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC)",GRELHADO(A)/BRASA/CHURRASCO,peixe de agua doce salgado inteiro em posta em file etc grelhado,117.0,24.16,,1.53,,105.0,0.36,,,68.0,IBGE
"PEIXE DE AGUA DOCE SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC)",ASSADO(A),peixe de agua doce salgado inteiro em posta em file etc assado,117.0,24.16,,1.53,,105.0,0.36,,,68.0,IBGE
"PEIXE DE AGUA DOCE SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC)",FRITO(A),peixe de agua doce salgado inteiro em posta em file etc frito,139.66,24.16,,4.09,,105.0,0.73,,,68.0,IBGE
"PEIXE DE AGUA DOCE SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC)",EMPANADO(A)/A MILANESA,peixe de agua doce salgado inteiro em posta em file etc empanado,155.84,24.62,3.39,4.14,0.14,105.09,0.74,,0.01,68.0,IBGE
"PEIXE DE AGUA DOCE SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC)",MOLHO VERMELHO,peixe de agua doce salgado inteiro em posta em file etc ao molho vermelho,98.4,19.59,1.08,1.26,0.3,188.8,0.3,,0.85,54.4,IBGE
"PEIXE DE AGUA DOCE SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC)",ENSOPADO,peixe de agua doce salgado inteiro em posta em file etc ensopado,139.66,24.16,,4.09,,105.0,0.73,,,68.0,IBGE
TRACAJA,COZIDO(A),tracaja cozido,117.0,24.16,,1.53,,105.0,0.36,,,68.0,IBGE
"PEIXE NAO ESPECIFICADO (INTEIRO, EM POSTA, EM FILÉ, ETC)",CRU(A),peixe nao especificado inteiro em posta em file etc cru,117.0,24.16,,1.53,,105.0,0.36,,,68.0,IBGE
"PEIXE NAO ESPECIFICADO (INTEIRO, EM POSTA, EM FILÉ, ETC)",COZIDO(A),peixe nao especificado inteiro em posta em file etc cozido,117.0,24.16,,1.53,,105.0,0.36,,,68.0,IBGE
"PEIXE NAO ESPECIFICADO (INTEIRO, EM POSTA, EM FILÉ, ETC)",GRELHADO(A)/BRASA/CHURRASCO,peixe nao especificado inteiro em posta em file etc grelhado,117.0,24.16,,1.53,,105.0,0.36,,,68.0,IBGE
"PEIXE NAO ESPECIFICADO (INTEIRO, EM POSTA, EM FILÉ, ETC)",ASSADO(A),peixe nao especificado inteiro em posta em file etc assado,117.0,24.16,,1.53,,105.0,0.36,,,68.0,IBGE
"PEIXE NAO ESPECIFICADO (INTEIRO, EM POSTA, EM FILÉ, ETC)",FRITO(A),peixe nao especificado inteiro em posta em file etc frito,139.66,24.16,,4.09,,105.0,0.73,,,68.0,IBGE
"PEIXE NAO ESPECIFICADO (INTEIRO, EM POSTA, EM FILÉ, ETC)",EMPANADO(A)/A MILANESA,peixe nao especificado inteiro em posta em file etc empanado,155.84,24.62,3.39,4.14,0.14,105.09,0.74,,0.01,68.0,IBGE
"PEIXE NAO ESPECIFICADO (INTEIRO, EM POSTA, EM FILÉ, ETC)",REFOGADO(A),peixe nao especificado inteiro em posta em file etc refogado,139.66,24.16,,4.09,,105.0,0.73,,,68.0,IBGE
"PEIXE NAO ESPECIFICADO (INTEIRO, EM POSTA, EM FILÉ, ETC)",MOLHO VERMELHO,peixe nao especificado inteiro em posta em file etc ao molho vermelho,98.4,19.59,1.08,1.26,0.3,188.8,0.3,,0.85,54.4,IBGE
"PEIXE NAO ESPECIFICADO (INTEIRO, EM POSTA, EM FILÉ, ETC)",MOLHO BRANCO,peixe nao especificado inteiro em posta em file etc ao molho branco,140.05,20.81,1.47,5.11,0.07,92.8,2.32,0.11,0.39,68.33,IBGE
"PEIXE NAO ESPECIFICADO (INTEIRO, EM POSTA, EM FILÉ, ETC)",ENSOPADO,peixe nao especificado inteiro em posta em file etc ensopado,139.66,24.16,,4.09,,105.0,0.73,,,68.0,IBGE
"PEIXE NAO ESPECIFICADO SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC)",COZIDO(A),peixe nao especificado salgado inteiro em posta em file etc cozido,117.0,24.16,,1.53,,105.0,0.36,,,68.0,IBGE
"PEIXE NAO ESPECIFICADO SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC)",GRELHADO(A)/BRASA/CHURRASCO,peixe nao especificado salgado inteiro em posta em file etc grelhado,117.0,24.16,,1.53,,105.0,0.36,,,68.0,IBGE
"PEIXE NAO ESPECIFICADO SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC)",ASSADO(A),peixe nao especificado salgado inteiro em posta em file etc assado,117.0,24.16,,1.53,,105.0,0.36,,,68.0,IBGE
"PEIXE NAO ESPECIFICADO SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC)",FRITO(A),peixe nao especificado salgado inteiro em posta em file etc frito,139.66,24.16,,4.09,,105.0,0.73,,,68.0,IBGE
"PEIXE NAO ESPECIFICADO SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC)",EMPANADO(A)/A MILANESA,peixe nao especificado salgado inteiro em posta em file etc empanado,155.84,24.62,3.39,4.14,0.14,105.09,0.74,,0.01,68.0,IBGE
AZEITONA,NAO SE APLICA,azeitona,145.0,1.03,3.84,15.32,3.3,1556.0,2.03,,,,IBGE
ERVILHA EM CONSERVA,NAO SE APLICA,ervilha em conserva,69.0,4.42,12.58,0.35,4.1,252.0,0.06,,4.16,,IBGE
PETIT POIS,NAO SE APLICA,petit pois,69.0,4.42,12.58,0.35,4.1,252.0,0.06,,4.16,,IBGE
MILHO VERDE EM CONSERVA,NAO SE APLICA,milho verde em conserva,81.0,2.64,18.8,0.93,1.9,298.0,0.17,,3.04,,IBGE
PALMITO EM CONSERVA,NAO SE APLICA,palmito em conserva,28.0,2.52,4.62,0.62,2.4,426.0,0.13,,,,IBGE
COGUMELO EM CONSERVA,NAO SE APLICA,cogumelo em conserva,50.74,1.87,5.09,3.2,2.4,425.0,0.49,0.02,1.44,,IBGE
CHAMPIGNON EM CONSERVA,NAO SE APLICA,champignon em conserva,50.74,1.87,5.09,3.2,2.4,425.0,0.49,0.02,1.44,,IBGE
ASPARGO EM CONSERVA,NAO SE APLICA,aspargo em conserva,19.0,2.14,2.46,0.65,1.6,287.0,0.15,,1.1,,IBGE
REPOLHO EM CONSERVA,NAO SE APLICA,repolho em conserva,19.0,0.91,4.28,0.14,2.9,661.0,0.03,,0.18,,IBGE
CHUCRUTE,NAO SE APLICA,chucrute,19.0,0.91,4.28,0.14,2.9,661.0,0.03,,0.18,,IBGE
LEGUME NAO ESPECIFICADO EM CONSERVA,NAO SE APLICA,legume nao especificado em conserva,47.0,2.53,9.06,0.26,2.8,482.78,0.05,,3.2,,IBGE
CREME DE CEBOLA (SOPA DESIDRATADA),NAO SE APLICA,creme de cebola sopa desidratada,46.31,0.82,5.34,2.47,0.2,374.69,0.79,0.29,2.67,5.95,IBGE
CREME DE LEGUMES (SOPA DESIDRATADA),NAO SE APLICA,creme de legumes sopa desidratada,10.55,0.48,2.15,0.02,0.23,289.56,0.0,,0.37,,IBGE
YAKISSOBA,NAO SE APLICA,yakissoba,527.0,8.38,57.54,30.76,3.9,439.0,4.38,,1.53,,IBGE
MILHO VERDE COM ERVILHA EM CONSERVA,CRU(A),milho verde com ervilha em conserva cru,79.52,3.83,16.81,0.47,2.96,36.06,0.08,,3.85,,IBGE
MILHO VERDE COM ERVILHA EM CONSERVA,COZIDO(A),milho verde com ervilha em conserva cozido,79.52,3.83,16.81,0.47,2.96,36.06,0.08,,3.85,,IBGE
MILHO VERDE COM ERVILHA EM CONSERVA,FRITO(A),milho verde com ervilha em conserva frito,79.52,3.83,16.81,0.47,2.96,36.06,0.08,,3.85,,IBGE
MILHO VERDE COM ERVILHA EM CONSERVA,NAO SE APLICA,milho verde com ervilha em conserva,79.52,3.83,16.81,0.47,2.96,36.06,0.08,,3.85,,IBGE
FEIJOADA,NAO SE APLICA,feijoada,181.59,11.11,16.92,7.9,5.68,353.09,2.49,0.07,2.67,16.27,IBGE
FEIJAO BRANCO COM DOBRADINHA EM CONSERVA,NAO SE APLICA,feijao branco com dobradinha em conserva,136.38,10.68,10.2,5.91,2.33,332.22,1.77,0.11,0.54,78.48,IBGE
COZIDO,NAO SE APLICA,cozido,87.33,5.61,7.93,3.79,1.74,298.29,1.3,0.08,1.16,12.75,IBGE
PASTA DE CARNE EM CONSERVA,NAO SE APLICA,pasta de carne em conserva,245.65,9.89,14.1,16.89,0.17,800.1,4.48,0.26,8.54,39.86,IBGE
PASTA DE PRESUNTO EM CONSERVA,NAO SE APLICA,pasta de presunto em conserva,276.46,17.86,1.8,21.43,,1019.37,7.26,0.16,1.8,67.32,IBGE
PASTA DE GALINHA EM CONSERVA,NAO SE APLICA,pasta de galinha em conserva,214.36,16.39,3.66,14.53,0.25,706.46,3.89,0.72,0.66,52.35,IBGE
CARNE BOVINA EM CONSERVA,NAO SE APLICA,carne bovina em conserva,242.0,24.22,,15.42,,367.77,5.74,0.68,,75.0,IBGE
ALMONDEGA,NAO SE APLICA,almondega,214.85,20.64,11.0,9.2,0.76,153.28,3.48,0.46,2.24,103.27,IBGE
KITUTE BOVINO,NAO SE APLICA,kitute bovino,242.0,24.22,,15.42,,367.77,5.74,0.68,,75.0,IBGE
ALMONDEGA AO MOLHO EM CONSERVA,NAO SE APLICA,almondega ao molho em conserva,203.52,16.16,9.7,10.72,0.91,246.54,4.03,0.58,2.67,81.81,IBGE
KITUTE SUINO,NAO SE APLICA,kitute suino,178.0,22.62,,9.02,,1500.0,3.12,0.03,,59.0,IBGE
PRESUNTADA,NAO SE APLICA,presuntada,178.0,22.62,,9.02,,1500.0,3.12,0.03,,59.0,IBGE
FIAMBRE,CRU(A),fiambre cru,178.0,22.62,,9.02,,1500.0,3.12,0.03,,59.0,IBGE
FIAMBRE,COZIDO(A),fiambre cozido,178.0,22.62,,9.02,,1500.0,3.12,0.03,,59.0,IBGE
FIAMBRE,ASSADO(A),fiambre assado,178.0,22.62,,9.02,,1500.0,3.12,0.03,,59.0,IBGE
FIAMBRE,FRITO(A),fiambre frito,178.0,22.62,,9.02,,1500.0,3.12,0.03,,59.0,IBGE
SALSICHA EM CONSERVA,NAO SE APLICA,salsicha em conserva,269.08,8.3,0.27,25.81,0.01,752.81,8.28,0.29,0.21,46.45,IBGE
SARDINHA EM CONSERVA,NAO SE APLICA,sardinha em conserva,208.0,24.62,,11.45,,505.0,1.53,,,142.0,IBGE
ATUM EM CONSERVA,NAO SE APLICA,atum em conserva,198.0,29.13,,8.21,,354.0,1.53,,,18.0,IBGE
PEPINO EM CONSERVA,NAO SE APLICA,pepino em conserva,12.0,0.6,2.59,0.14,1.1,875.0,0.04,,1.31,,IBGE
PASTA DE PEIXE EM CONSERVA,NAO SE APLICA,pasta de peixe em conserva,198.0,29.13,,8.21,,354.0,1.53,,,18.0,IBGE
PICLES,NAO SE APLICA,picles,12.0,0.6,2.59,0.14,1.1,875.0,0.04,,1.31,,IBGE
NABO EM CONSERVA,NAO SE APLICA,nabo em conserva,43.26,0.87,9.94,0.19,1.59,195.3,0.02,,8.56,,IBGE
STROGONOFF,NAO SE APLICA,strogonoff,147.68,12.83,4.13,9.11,0.44,354.23,3.81,0.29,1.6,33.44,IBGE
SALMAO EM CONSERVA,NAO SE APLICA,salmao em conserva,136.0,23.08,,4.83,,399.0,0.85,,,82.0,IBGE
CREME DE CEBOLA (SOPA DESIDRATADA) LIGHT,NAO SE APLICA,creme de cebola sopa desidratada light,46.31,0.82,5.34,2.47,0.2,374.69,0.79,0.29,2.67,5.95,IBGE
CREME DE LEGUMES (SOPA DESIDRATADA) LIGHT,NAO SE APLICA,creme de legumes sopa desidratada light,10.55,0.48,2.15,0.02,0.23,289.56,0.0,,0.37,,IBGE
YAKISSOBA (SOPA DE LEGUMES DESIDRATADA) LIGHT,NAO SE APLICA,yakissoba sopa de legumes desidratada light,80.04,3.01,15.61,0.47,0.97,398.23,0.09,,0.35,,IBGE
ATUM EM CONSERVA LIGHT,NAO SE APLICA,atum em conserva light,116.0,25.51,,0.82,,338.0,0.23,,,30.0,IBGE
FRANGO INTEIRO,CRU(A),frango inteiro cru,239.0,27.3,,13.6,,82.0,3.79,0.45,,88.0,IBGE
FRANGO INTEIRO,COZIDO(A),frango inteiro cozido,239.0,27.3,,13.6,,82.0,3.79,0.45,,88.0,IBGE
FRANGO INTEIRO,GRELHADO(A)/BRASA/CHURRASCO,frango inteiro grelhado,239.0,27.3,,13.6,,82.0,3.79,0.45,,88.0,IBGE
FRANGO INTEIRO,ASSADO(A),frango inteiro assado,239.0,27.3,,13.6,,82.0,3.79,0.45,,88.0,IBGE
FRANGO INTEIRO,FRITO(A),frango inteiro frito,261.66,27.3,,16.16,,82.0,4.19,0.46,,88.0,IBGE
FRANGO INTEIRO,EMPANADO(A)/A MILANESA,frango inteiro empanado,277.84,27.76,3.39,16.21,0.14,82.09,4.2,0.46,0.01,88.0,IBGE
FRANGO INTEIRO,REFOGADO(A),frango inteiro refogado,261.66,27.3,,16.16,,82.0,4.19,0.46,,88.0,IBGE
FRANGO INTEIRO,MOLHO VERMELHO,frango inteiro ao molho vermelho,196.0,22.1,1.08,10.92,0.3,170.4,3.04,0.36,0.85,70.4,IBGE
FRANGO INTEIRO,ENSOPADO,frango inteiro ensopado,261.66,27.3,,16.16,,82.0,4.19,0.46,,88.0,IBGE
PARTE DE GALINHA OU FRANGO NAO ESPECIFICADA,CRU(A),parte de galinha ou frango nao especificada cru,239.0,27.3,,13.6,,82.0,3.79,0.45,,88.0,IBGE
PARTE DE GALINHA OU FRANGO NAO ESPECIFICADA,COZIDO(A),parte de galinha ou frango nao especificada cozido,239.0,27.3,,13.6,,82.0,3.79,0.45,,88.0,IBGE
PARTE DE GALINHA OU FRANGO NAO ESPECIFICADA,GRELHADO(A)/BRASA/CHURRASCO,parte de galinha ou frango nao especificada grelhado,239.0,27.3,,13.6,,82.0,3.79,0.45,,88.0,IBGE
PARTE DE GALINHA OU FRANGO NAO ESPECIFICADA,ASSADO(A),parte de galinha ou frango nao especificada assado,239.0,27.3,,13.6,,82.0,3.79,0.45,,88.0,IBGE
PARTE DE GALINHA OU FRANGO NAO ESPECIFICADA,FRITO(A),parte de galinha ou frango nao especificada frito,261.66,27.3,,16.16,,82.0,4.19,0.46,,88.0,IBGE
PARTE DE GALINHA OU FRANGO NAO ESPECIFICADA,EMPANADO(A)/A MILANESA,parte de galinha ou frango nao especificada empanado,277.84,27.76,3.39,16.21,0.14,82.09,4.2,0.46,0.01,88.0,IBGE
PARTE DE GALINHA OU FRANGO NAO ESPECIFICADA,REFOGADO(A),parte de galinha ou frango nao especificada refogado,261.66,27.3,,16.16,,82.0,4.19,0.46,,88.0,IBGE
PARTE DE GALINHA OU FRANGO NAO ESPECIFICADA,MOLHO VERMELHO,parte de galinha ou frango nao especificada ao molho vermelho,196.0,22.1,1.08,10.92,0.3,170.4,3.04,0.36,0.85,70.4,IBGE
PARTE DE GALINHA OU FRANGO NAO ESPECIFICADA,ENSOPADO,parte de galinha ou frango nao especificada ensopado,261.66,27.3,,16.16,,82.0,4.19,0.46,,88.0,IBGE
PARTE DE GALINHA OU FRANGO NAO ESPECIFICADA,NAO SE APLICA,parte de galinha ou frango nao especificada,239.0,27.3,,13.6,,82.0,3.79,0.45,,88.0,IBGE
FRANGO EM PEDAÇOS,CRU(A),frango em pedacos cru,239.0,27.3,,13.6,,82.0,3.79,0.45,,88.0,IBGE
FRANGO EM PEDAÇOS,COZIDO(A),frango em pedacos cozido,239.0,27.3,,13.6,,82.0,3.79,0.45,,88.0,IBGE
FRANGO EM PEDAÇOS,GRELHADO(A)/BRASA/CHURRASCO,frango em pedacos grelhado,239.0,27.3,,13.6,,82.0,3.79,0.45,,88.0,IBGE
FRANGO EM PEDAÇOS,ASSADO(A),frango em pedacos assado,239.0,27.3,,13.6,,82.0,3.79,0.45,,88.0,IBGE
FRANGO EM PEDAÇOS,FRITO(A),frango em pedacos frito,261.66,27.3,,16.16,,82.0,4.19,0.46,,88.0,IBGE
FRANGO EM PEDAÇOS,EMPANADO(A)/A MILANESA,frango em pedacos empanado,277.84,27.76,3.39,16.21,0.14,82.09,4.2,0.46,0.01,88.0,IBGE
FRANGO EM PEDAÇOS,REFOGADO(A),frango em pedacos refogado,261.66,27.3,,16.16,,82.0,4.19,0.46,,88.0,IBGE
FRANGO EM PEDAÇOS,MOLHO VERMELHO,frango em pedacos ao molho vermelho,196.0,22.1,1.08,10.92,0.3,170.4,3.04,0.36,0.85,70.4,IBGE
FRANGO EM PEDAÇOS,MOLHO BRANCO,frango em pedacos ao molho branco,226.79,22.6,1.85,13.71,0.04,120.6,3.74,0.39,1.03,72.35,IBGE
FRANGO EM PEDAÇOS,AO ALHO E OLEO,frango em pedacos ao alho e oleo,261.66,27.3,,16.16,,82.0,4.19,0.46,,88.0,IBGE
FRANGO EM PEDAÇOS,COM MANTEIGA/OLEO,frango em pedacos com manteiga,192.14,30.93,0.0,6.68,,92.37,2.64,0.18,0.0,90.74,IBGE
FRANGO EM PEDAÇOS,ENSOPADO,frango em pedacos ensopado,261.66,27.3,,16.16,,82.0,4.19,0.46,,88.0,IBGE
FRANGO EM PEDAÇOS,SOPA,frango em pedacos sopa,31.47,1.61,3.64,1.06,0.13,343.65,0.31,0.02,0.11,3.19,IBGE
FRANGO EM PEDAÇOS,NAO SE APLICA,frango em pedacos,239.0,27.3,,13.6,,82.0,3.79,0.45,,88.0,IBGE
GALINHA EM PEDACOS,COZIDO(A),galinha em pedacos cozido,239.0,27.3,,13.6,,82.0,3.79,0.45,,88.0,IBGE
GALINHA EM PEDACOS,GRELHADO(A)/BRASA/CHURRASCO,galinha em pedacos grelhado,239.0,27.3,,13.6,,82.0,3.79,0.45,,88.0,IBGE
GALINHA EM PEDACOS,ASSADO(A),galinha em pedacos assado,239.0,27.3,,13.6,,82.0,3.79,0.45,,88.0,IBGE
GALINHA EM PEDACOS,FRITO(A),galinha em pedacos frito,261.66,27.3,,16.16,,82.0,4.19,0.46,,88.0,IBGE
GALINHA EM PEDACOS,EMPANADO(A)/A MILANESA,galinha em pedacos empanado,277.84,27.76,3.39,16.21,0.14,82.09,4.2,0.46,0.01,88.0,IBGE
GALINHA EM PEDACOS,REFOGADO(A),galinha em pedacos refogado,261.66,27.3,,16.16,,82.0,4.19,0.46,,88.0,IBGE
GALINHA EM PEDACOS,MOLHO VERMELHO,galinha em pedacos ao molho vermelho,196.0,22.1,1.08,10.92,0.3,170.4,3.04,0.36,0.85,70.4,IBGE
GALINHA EM PEDACOS,MOLHO BRANCO,galinha em pedacos ao molho branco,226.79,22.6,1.85,13.71,0.04,120.6,3.74,0.39,1.03,72.35,IBGE
GALINHA EM PEDACOS,ENSOPADO,galinha em pedacos ensopado,261.66,27.3,,16.16,,82.0,4.19,0.46,,88.0,IBGE
CARNE DE GALINHA,CRU(A),carne de galinha cru,239.0,27.3,,13.6,,82.0,3.79,0.45,,88.0,IBGE
CARNE DE GALINHA,COZIDO(A),carne de galinha cozido,239.0,27.3,,13.6,,82.0,3.79,0.45,,88.0,IBGE
CARNE DE GALINHA,GRELHADO(A)/BRASA/CHURRASCO,carne de galinha grelhado,239.0,27.3,,13.6,,82.0,3.79,0.45,,88.0,IBGE
CARNE DE GALINHA,ASSADO(A),carne de galinha assado,239.0,27.3,,13.6,,82.0,3.79,0.45,,88.0,IBGE
CARNE DE GALINHA,FRITO(A),carne de galinha frito,261.66,27.3,,16.16,,82.0,4.19,0.46,,88.0,IBGE
